state,date,u_rate
Pulau Pinang,1987-01-01,6.5
Pulau Pinang,1988-01-01,6.7
Pulau Pinang,1989-01-01,3.9
Pulau Pinang,1990-01-01,2.8
Pulau Pinang,1992-01-01,1.7
Pulau Pinang,1993-01-01,2.2
Pulau Pinang,1995-01-01,1.4
Pulau Pinang,1996-01-01,0.7
Pulau Pinang,1997-01-01,1.1
Pulau Pinang,1998-01-01,2.3
Pulau Pinang,1999-01-01,2.4
Pulau Pinang,2000-01-01,1.9
Pulau Pinang,2001-01-01,2.5
Pulau Pinang,2002-01-01,2.2
Pulau Pinang,2003-01-01,1.7
Pulau Pinang,2004-01-01,1.8
Pulau Pinang,2005-01-01,2.1
Pulau Pinang,2006-01-01,1.7
Pulau Pinang,2007-01-01,2.1
Pulau Pinang,2008-01-01,2.0
Pulau Pinang,2009-01-01,2.5
Pulau Pinang,2010-01-01,2.2
Pulau Pinang,2011-01-01,1.9
Pulau Pinang,2012-01-01,2.0
Pulau Pinang,2013-01-01,1.7
Pulau Pinang,2014-01-01,1.6
Pulau Pinang,2015-01-01,1.6
Pulau Pinang,2016-01-01,2.1
Pulau Pinang,2017-01-01,2.1
Pulau Pinang,2018-01-01,2.2
Pulau Pinang,2019-01-01,2.0
Pulau Pinang,2020-01-01,3.5
Pulau Pinang,2021-01-01,3.6
Pulau Pinang,2022-01-01,2.8
Sabah,1982-01-01,3.0
Sabah,1983-01-01,4.1
Sabah,1984-01-01,6.0
Sabah,1985-01-01,6.4
Sabah,1986-01-01,8.2
Sabah,1987-01-01,9.0
Sabah,1988-01-01,8.2
Sabah,1989-01-01,7.4
Sabah,1990-01-01,9.0
Sabah,1992-01-01,6.2
Sabah,1993-01-01,7.1
Sabah,1995-01-01,5.5
Sabah,1996-01-01,3.9
Sabah,1997-01-01,4.6
Sabah,1998-01-01,4.9
Sabah,1999-01-01,5.6
Sabah,2000-01-01,5.8
Sabah,2001-01-01,6.6
Sabah,2002-01-01,5.9
Sabah,2003-01-01,5.4
Sabah,2004-01-01,6.5
Sabah,2005-01-01,6.4
Sabah,2006-01-01,5.7
Sabah,2007-01-01,5.5
Sabah,2008-01-01,4.9
Sabah,2009-01-01,5.5
Sabah,2010-01-01,5.5
Sabah,2011-01-01,5.6
Sabah,2012-01-01,5.6
Sabah,2013-01-01,5.3
Sabah,2014-01-01,4.9
Sabah,2015-01-01,5.0
Sabah,2016-01-01,5.4
Sabah,2017-01-01,5.6
Sabah,2018-01-01,5.8
Sabah,2019-01-01,5.8
Sabah,2020-01-01,8.0
Sabah,2021-01-01,8.2
Sabah,2022-01-01,7.5
Sarawak,1982-01-01,2.8
Sarawak,1983-01-01,5.2
Sarawak,1984-01-01,6.7
Sarawak,1985-01-01,7.1
Sarawak,1986-01-01,9.0
Sarawak,1987-01-01,9.8
Sarawak,1988-01-01,10.3
Sarawak,1989-01-01,9.6
Sarawak,1990-01-01,9.9
Sarawak,1992-01-01,7.8
Sarawak,1993-01-01,7.0
Sarawak,1995-01-01,4.8
Sarawak,1996-01-01,4.4
Sarawak,1997-01-01,3.9
Sarawak,1998-01-01,5.0
Sarawak,1999-01-01,4.6
Sarawak,2000-01-01,4.3
Sarawak,2001-01-01,4.4
Sarawak,2002-01-01,4.0
Sarawak,2003-01-01,3.9
Sarawak,2004-01-01,3.8
Sarawak,2005-01-01,4.1
Sarawak,2006-01-01,4.1
Sarawak,2007-01-01,4.3
Sarawak,2008-01-01,5.3
Sarawak,2009-01-01,4.6
Sarawak,2010-01-01,4.4
Sarawak,2011-01-01,4.1
Sarawak,2012-01-01,3.5
Sarawak,2013-01-01,3.7
Sarawak,2014-01-01,3.1
Sarawak,2015-01-01,3.5
Sarawak,2016-01-01,3.3
Sarawak,2017-01-01,3.0
Sarawak,2018-01-01,3.2
Sarawak,2019-01-01,3.1
Sarawak,2020-01-01,4.3
Sarawak,2021-01-01,4.5
Sarawak,2022-01-01,3.7
Selangor,1982-01-01,2.2
Selangor,1983-01-01,2.3
Selangor,1984-01-01,4.0
Selangor,1985-01-01,4.7
Selangor,1986-01-01,5.7
Selangor,1987-01-01,5.6
Selangor,1988-01-01,5.9
Selangor,1989-01-01,3.9
Selangor,1990-01-01,2.1
Selangor,1992-01-01,2.1
Selangor,1993-01-01,2.7
Selangor,1995-01-01,2.0
Selangor,1996-01-01,0.9
Selangor,1997-01-01,1.0
Selangor,1998-01-01,1.8
Selangor,1999-01-01,1.9
Selangor,2000-01-01,2.0
Selangor,2001-01-01,2.4
Selangor,2002-01-01,3.0
Selangor,2003-01-01,3.2
Selangor,2004-01-01,2.7
Selangor,2005-01-01,3.1
Selangor,2006-01-01,3.2
Selangor,2007-01-01,3.0
Selangor,2008-01-01,3.1
Selangor,2009-01-01,3.6
Selangor,2010-01-01,3.2
Selangor,2011-01-01,2.4
Selangor,2012-01-01,2.3
Selangor,2013-01-01,2.4
Selangor,2014-01-01,2.0
Selangor,2015-01-01,2.4
Selangor,2016-01-01,3.2
Selangor,2017-01-01,2.8
Selangor,2018-01-01,2.8
Selangor,2019-01-01,2.9
Selangor,2020-01-01,4.3
Selangor,2021-01-01,4.3
Selangor,2022-01-01,3.6
Terengganu,1982-01-01,2.7
Terengganu,1983-01-01,2.5
Terengganu,1984-01-01,6.8
Terengganu,1985-01-01,7.2
Terengganu,1986-01-01,9.5
Terengganu,1987-01-01,11.7
Terengganu,1988-01-01,9.4
Terengganu,1989-01-01,12.3
Terengganu,1990-01-01,6.9
Terengganu,1992-01-01,5.5
Terengganu,1993-01-01,7.0
Terengganu,1995-01-01,5.9
Terengganu,1996-01-01,3.3
Terengganu,1997-01-01,3.6
Terengganu,1998-01-01,4.0
Terengganu,1999-01-01,3.9
Terengganu,2000-01-01,3.0
Terengganu,2001-01-01,2.7
Terengganu,2002-01-01,3.2
Terengganu,2003-01-01,2.9
Terengganu,2004-01-01,3.2
Terengganu,2005-01-01,3.1
Terengganu,2006-01-01,3.6
Terengganu,2007-01-01,2.6
Terengganu,2008-01-01,3.4
Terengganu,2009-01-01,3.8
Terengganu,2010-01-01,3.7
Terengganu,2011-01-01,3.2
Terengganu,2012-01-01,3.0
Terengganu,2013-01-01,3.4
Terengganu,2014-01-01,4.1
Terengganu,2015-01-01,4.0
Terengganu,2016-01-01,4.2
Terengganu,2017-01-01,4.5
Terengganu,2018-01-01,4.8
Terengganu,2019-01-01,3.5
Terengganu,2020-01-01,4.1
Terengganu,2021-01-01,4.0
Terengganu,2022-01-01,3.6
W.P. Kuala Lumpur,1982-01-01,1.9
W.P. Kuala Lumpur,1983-01-01,2.0
W.P. Kuala Lumpur,1984-01-01,3.8
W.P. Kuala Lumpur,1985-01-01,3.5
W.P. Kuala Lumpur,1986-01-01,5.5
W.P. Kuala Lumpur,1987-01-01,5.7
W.P. Kuala Lumpur,1988-01-01,5.9
W.P. Kuala Lumpur,1989-01-01,3.7
W.P. Kuala Lumpur,1990-01-01,2.6
W.P. Kuala Lumpur,1992-01-01,2.4
W.P. Kuala Lumpur,1993-01-01,3.0
W.P. Kuala Lumpur,1995-01-01,1.7
W.P. Kuala Lumpur,1996-01-01,1.8
W.P. Kuala Lumpur,1997-01-01,1.4
W.P. Kuala Lumpur,1998-01-01,2.5
W.P. Kuala Lumpur,1999-01-01,2.9
W.P. Kuala Lumpur,2000-01-01,2.6
W.P. Kuala Lumpur,2001-01-01,2.7
W.P. Kuala Lumpur,2002-01-01,2.8
W.P. Kuala Lumpur,2003-01-01,3.4
W.P. Kuala Lumpur,2004-01-01,2.9
W.P. Kuala Lumpur,2005-01-01,2.3
W.P. Kuala Lumpur,2006-01-01,2.8
W.P. Kuala Lumpur,2007-01-01,2.9
W.P. Kuala Lumpur,2008-01-01,2.7
W.P. Kuala Lumpur,2009-01-01,2.9
W.P. Kuala Lumpur,2010-01-01,3.1
W.P. Kuala Lumpur,2011-01-01,3.0
W.P. Kuala Lumpur,2012-01-01,2.7
W.P. Kuala Lumpur,2013-01-01,3.3
W.P. Kuala Lumpur,2014-01-01,2.9
W.P. Kuala Lumpur,2015-01-01,3.3
W.P. Kuala Lumpur,2016-01-01,3.3
W.P. Kuala Lumpur,2017-01-01,3.1
W.P. Kuala Lumpur,2018-01-01,2.4
W.P. Kuala Lumpur,2019-01-01,2.6
W.P. Kuala Lumpur,2020-01-01,4.0
W.P. Kuala Lumpur,2021-01-01,4.2
W.P. Kuala Lumpur,2022-01-01,3.1
W.P. Labuan,1992-01-01,3.3
W.P. Labuan,1993-01-01,5.9
W.P. Labuan,1995-01-01,4.7
W.P. Labuan,1996-01-01,5.1
W.P. Labuan,1997-01-01,3.3
W.P. Labuan,1998-01-01,2.5
W.P. Labuan,1999-01-01,4.0
W.P. Labuan,2000-01-01,4.7
W.P. Labuan,2001-01-01,5.4
W.P. Labuan,2002-01-01,3.2
W.P. Labuan,2003-01-01,4.5
W.P. Labuan,2004-01-01,5.0
W.P. Labuan,2005-01-01,5.1
W.P. Labuan,2006-01-01,9.4
W.P. Labuan,2007-01-01,4.5
W.P. Labuan,2008-01-01,5.6
W.P. Labuan,2009-01-01,5.6
W.P. Labuan,2010-01-01,6.0
W.P. Labuan,2011-01-01,4.2
W.P. Labuan,2012-01-01,4.6
W.P. Labuan,2013-01-01,4.1
W.P. Labuan,2014-01-01,5.1
W.P. Labuan,2015-01-01,5.0
W.P. Labuan,2016-01-01,7.8
W.P. Labuan,2017-01-01,8.5
W.P. Labuan,2018-01-01,7.1
W.P. Labuan,2019-01-01,6.9
W.P. Labuan,2020-01-01,7.2
W.P. Labuan,2021-01-01,7.4
W.P. Labuan,2022-01-01,7.2
W.P. Putrajaya,2011-01-01,1.1
W.P. Putrajaya,2012-01-01,1.5
W.P. Putrajaya,2013-01-01,1.2
W.P. Putrajaya,2014-01-01,1.2
W.P. Putrajaya,2015-01-01,1.0
W.P. Putrajaya,2016-01-01,1.7
W.P. Putrajaya,2017-01-01,1.5
W.P. Putrajaya,2018-01-01,1.3
W.P. Putrajaya,2019-01-01,1.2
W.P. Putrajaya,2020-01-01,1.5
W.P. Putrajaya,2021-01-01,1.6
W.P. Putrajaya,2022-01-01,1.0
